id,route_id,stop_id,current_stop_in_route
4178,127,669,31
8181,909,183,18
447,2,1472,9
4894,138,3888,2
4026,126,3814,28
1548,14,2295,6
7945,904,4586,26
1893,19,4759,2
5066,143,450,12
1037,9,1767,4
1436,13,1679,13
2029,20,1389,30
7402,259,841,14
2578,104,3218,7
3969,125,3518,17
4445,130,612,9
8277,913,4406,6
9171,958,1705,21
8610,924,1030,21
2268,23,2958,15
2515,103,5159,23
8305,914,711,12
8516,923,4583,3
3250,115,4890,2
1149,10,1388,3
1169,10,2295,6
4168,127,784,29
2265,23,1438,12
5435,149,4890,2
2706,106,269,6
4313,129,1318,3
3268,115,624,25
3125,112,2010,24
1627,16,1486,12
812,6,2041,17
2668,106,614,10
3473,119,2861,9
1512,14,1414,4
3725,122,5275,3
5677,152,5285,6
5934,241,319,4
427,2,1473,10
4152,127,2554,13
8116,908,696,4
8636,924,3736,7
4483,131,756,18
7489,259,596,7
9051,941,4601,28
3243,115,583,13
5501,149,644,11
5740,206,3102,25
6324,245,2535,1
2335,101,91,8
9176,958,142,3
3264,115,1178,21
3106,112,2290,5
696,4,1543,7
423,2,1397,16
2493,103,799,1
1536,14,2555,1
2983,110,964,22
5642,152,1214,19
6170,244,1330,25
7203,255,2528,2
9005,938,64,5
5165,144,331,5
3142,113,3809,13
5647,152,288,24
1110,10,1673,32
8398,917,4144,12
8833,934,3713,19
3768,122,29,27
6514,247,404,34
884,7,1497,5
3363,117,2951,12
3546,119,3053,33
2796,107,182,33
6990,251,3488,54
6060,243,910,2
3881,124,322,20
3184,114,465,11
4290,128,5151,11
424,2,1618,17
5601,151,624,18
3306,116,633,14
3424,118,4652,19
7372,257,1963,3
3117,112,4405,16
1481,13,1578,6
6470,246,1809,49
8751,931,1258,10
3436,118,665,31
8050,905,5341,20
1991,20,5287,21
2567,104,4794,14
7967,904,616,4
2174,22,1398,3
3518,119,630,5
1324,12,4743,10
8463,921,3609,19
252,K,545,9
2276,23,1447,23
4535,132,4022,0
1679,17,1484,6
5281,145,3552,5
7400,259,3526,12
3731,122,199,9
5998,242,626,14
523,3,1352,4
8553,923,3075,19
6375,246,648,3
4381,129,205,20
5387,148,181,15
7393,259,2733,5
9205,967,277,3
5761,240,1031,9
1537,14,1619,2
7527,315,639,5
2646,105,3761,17
823,6,2032,6
2694,106,4105,19
6120,243,435,5
6312,245,5126,7
1352,12,2496,0
6391,246,198,7
6830,249,1142,27
8504,921,606,36
2853,107,278,36
269,N,639,5
2274,23,1632,21
2879,107,2173,33
3108,112,3875,7
3578,120,535,9
3487,119,1174,23
5595,151,710,12
6597,247,389,40
579,4,1372,3
3569,120,1064,0
8364,914,4257,5
4295,128,3123,1
8956,937,1337,6
4618,133,395,11
660,4,3905,9
3149,113,340,20
4968,142,40,25
94,A,864,31
4154,127,5185,15
5067,143,2528,13
4737,134,424,1
7515,310,5218,1
3850,124,2855,23
687,4,1619,2
3406,118,871,0
4465,131,4562,0
1148,10,1560,2
495,3,1353,12
313,N,756,17
3607,121,3209,2
553,3,3904,3
3799,123,129,26
5547,151,667,1
6105,243,856,7
7052,253,1209,9
208,K,667,1
923,8,2497,0
3843,124,319,16
3634,121,3884,5
7857,714,1329,6
1238,11,2295,6
589,4,1490,13
1173,10,1534,10
6468,246,1045,47
1073,10,3228,33
1987,20,4684,17
2999,111,3833,10
2769,107,380,6
2825,107,4131,8
8174,909,4044,11
6267,245,4794,31
3195,114,2905,4
4532,132,3899,9
2132,22,1526,17
1820,18,1593,16
7989,904,1196,26
1824,18,1637,20
1463,13,2496,28
1525,14,1542,17
3678,122,3123,1
6300,245,5285,23
2249,23,1500,31
1717,17,1433,7
2941,110,3519,15
4087,126,114,8
484,3,1455,1
317,N,4021,12
2811,107,83,48
1713,17,1629,3
4614,133,387,7
3539,119,5296,26
8732,931,2782,6
8459,921,1191,15
873,7,1535,20
8630,924,3628,4
1210,11,1515,5
1009,9,1619,6
8192,911,607,2
2671,106,2489,13
1996,20,1558,26
2480,103,951,19
3201,114,1229,10
6039,243,3416,19
198,D,814,16
6465,246,2579,44
7968,904,1012,5
4814,136,1766,29
8027,905,3899,22
4169,127,3900,30
2396,102,4126,5
2948,110,3518,5
6069,243,2998,11
2757,106,3512,27
4665,133,389,27
8474,921,2255,6
133,D,3102,20
7272,255,487,14
2253,23,2542,0
6508,247,276,28
2615,104,666,7
283,N,2695,1
7117,253,508,20
5553,151,4715,7
5088,143,1240,34
8086,907,4712,3
4940,142,5344,39
1142,10,1398,3
8038,905,644,8
2717,106,5197,17
4206,128,5167,9
6404,246,3558,20
2624,105,4715,8
1792,18,5175,23
2414,102,3218,23
7742,602,1163,17
570,3,2496,33
6714,248,669,25
7152,253,602,15
760,5,1410,22
5621,152,115,7
6562,247,702,3
4004,126,318,18
186,D,4714,12
