id,direction_id,route_id,vechicle_id,trip_destination
3_13333580,0,A,1,1
3_13333595,0,A,1,1
3_13333626,0,A,1,1
3_13333440,1,A,1,2
3_13333551,1,A,2,2
3_13333553,1,A,2,2
3_13333555,1,A,2,2
3_13333557,1,A,2,2
3_13333559,1,A,2,2
3_13333561,1,A,2,2
3_13333563,1,A,2,2
3_13333569,1,A,1,2
3_13333571,1,A,1,2
3_13333573,1,A,1,2
3_13333575,1,A,1,2
3_13333577,1,A,1,2
3_13333579,1,A,1,2
3_13333582,1,A,1,2
3_13333584,1,A,1,2
3_13333586,1,A,1,2
3_13333588,1,A,1,2
3_13333590,1,A,1,2
3_13333592,1,A,1,2
3_13333594,1,A,1,2
3_13333597,1,A,1,2
3_13333599,1,A,1,2
3_13333601,1,A,1,2
3_13333603,1,A,1,2
3_13333605,1,A,1,2
3_13333607,1,A,1,2
3_13333609,1,A,1,2
3_13333613,1,A,1,2
3_13333615,1,A,1,2
3_13333617,1,A,1,2
3_13333619,1,A,1,2
3_13333621,1,A,1,2
3_13333623,1,A,1,2
3_13333625,1,A,1,2
3_13333340,0,A,1,3
3_13333439,0,A,1,3
3_13333552,0,A,2,3
3_13333554,0,A,2,3
3_13333556,0,A,2,3
3_13333558,0,A,2,3
3_13333560,0,A,2,3
3_13333562,0,A,2,3
3_13333564,0,A,2,3
3_13333568,0,A,1,3
3_13333570,0,A,1,3
3_13333572,0,A,1,3
3_13333574,0,A,1,3
3_13333576,0,A,1,3
3_13333578,0,A,1,3
3_13333583,0,A,1,3
3_13333585,0,A,1,3
3_13333587,0,A,1,3
3_13333589,0,A,1,3
3_13333591,0,A,1,3
3_13333593,0,A,1,3
3_13333598,0,A,1,3
3_13333600,0,A,1,3
3_13333602,0,A,1,3
3_13333604,0,A,1,3
3_13333606,0,A,1,3
3_13333608,0,A,1,3
3_13333610,0,A,1,3
3_13333614,0,A,1,3
3_13333616,0,A,1,3
3_13333618,0,A,1,3
3_13333620,0,A,1,3
3_13333622,0,A,1,3
3_13333624,0,A,1,3
3_13333391,0,A,1,3
3_13333341,1,A,1,4
3_13333611,1,A,1,1
3_13333550,0,A,2,3
3_13333581,0,A,1,3
3_13333596,0,A,1,3
3_13333612,0,A,1,3
3_13333339,1,A,1,2
3_13333390,1,A,1,2
3_13333438,1,A,1,2
3_13333567,1,A,1,2
4_13336505,0,A,1,1
4_13336520,0,A,1,1
4_13336551,0,A,1,1
4_13336358,1,A,1,2
4_13336476,1,A,2,2
4_13336478,1,A,2,2
4_13336480,1,A,2,2
4_13336482,1,A,2,2
4_13336484,1,A,2,2
4_13336486,1,A,2,2
4_13336488,1,A,2,2
4_13336494,1,A,1,2
4_13336496,1,A,1,2
4_13336498,1,A,1,2
4_13336500,1,A,1,2
4_13336502,1,A,1,2
4_13336504,1,A,1,2
4_13336507,1,A,1,2
4_13336509,1,A,1,2
4_13336511,1,A,1,2
4_13336513,1,A,1,2
4_13336515,1,A,1,2
4_13336517,1,A,1,2
4_13336519,1,A,1,2
4_13336522,1,A,1,2
4_13336524,1,A,1,2
4_13336526,1,A,1,2
4_13336528,1,A,1,2
4_13336530,1,A,1,2
4_13336532,1,A,1,2
4_13336534,1,A,1,2
4_13336538,1,A,1,2
4_13336540,1,A,1,2
4_13336542,1,A,1,2
4_13336544,1,A,1,2
4_13336546,1,A,1,2
4_13336548,1,A,1,2
4_13336550,1,A,1,2
4_13336271,0,A,1,3
4_13336357,0,A,1,3
4_13336477,0,A,2,3
